title,price,reviews,star_rating,url,image
Ashantae 81.5'' Leather Sofa,"$2,999.99",(92),4.5,https://www.wayfair.com/furniture/pdp/lark-manor-ashantae-815-leather-sofa-kthm5751.html?piid=89126766,https://assets.wfcdn.com/im/43241231/resize-h400-w400%5Ecompr-r85/3055/305510873/Ashantae+81.5%27%27+Leather+Sofa.jpg
Coombs 85'' Faux Leather Sofa,"$1,250.00",(94),5.0,https://www.wayfair.com/furniture/pdp/lark-manor-coombs-85-faux-leather-round-arm-sofa-w005101250.html?piid=1050858829,https://assets.wfcdn.com/im/08704612/resize-h400-w400%5Ecompr-r85/1817/181775482/Coombs+85%27%27+Faux+Leather+Sofa.jpg
Sofie Full-Grain Genuine Italian Leather Daybed,$719.99,(4),5.0,https://www.wayfair.com/furniture/pdp/allmodern-sofie-full-grain-genuine-italian-leather-daybed-w001324573.html?piid=2010082004&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/43730928/resize-h400-w400%5Ecompr-r85/3308/330892723/Sofie+Full-Grain+Genuine+Italian+Leather+Daybed.jpg
"Caytie 110.2'' Leather  Sofa,Modern Black Cloud Couch With Tufted Seats And Unique Flared Arms","$1,799.00",(578),4.5,https://www.wayfair.com/furniture/pdp/orren-ellis-caytie-1102-leather-sofamodern-black-cloud-couch-with-tufted-seats-and-unique-flared-arms-wkak1011.html?piid=92610667&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/49221253/resize-h400-w400%5Ecompr-r85/3435/343510042/Caytie+110.2%27%27+Leather++Sofa%2CModern+Black+Cloud+Couch+With+Tufted+Seats+And+Unique+Flared+Arms.jpg
"Brinna Contemporary 84"" Upholstered Button-tufted Sofa with Metal Legs","$1,899.99",(3),5.0,https://www.wayfair.com/furniture/pdp/wade-logan-brinna-contemporary-84-upholstered-button-tufted-sofa-with-metal-legs-w110229000.html?piid=1226015262&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/59498173/resize-h400-w400%5Ecompr-r85/2528/252825710/Brinna+Contemporary+84%22+Upholstered+Button-tufted+Sofa+with+Metal+Legs.jpg
118.5” Leather Upholstered Oversized Seating Sofa With Reversible Cushions,$610.00,(610),4.5,https://www.wayfair.com/furniture/pdp/ebern-designs-1185-leather-upholstered-oversized-seating-sofa-with-reversible-cushions-w113597052.html?piid=97769885&auctionId=8c89095c-05b4-4dfd-b27e-138ac30ea8bc&adTypeId=1,https://assets.wfcdn.com/im/19825810/resize-h400-w400%5Ecompr-r85/3476/347641156/118.5%E2%80%9D+Leather+Upholstered+Oversized+Seating+Sofa+With+Reversible+Cushions.jpg
3 Piece Vegan Leather Manual Reclining Living Room Sofa Set,$759.99,(1),5.0,https://www.wayfair.com/furniture/pdp/latitude-run-3-piece-vegan-leather-manual-reclining-living-room-sofa-set-lthl1084.html?piid=67855834,https://assets.wfcdn.com/im/80855317/resize-h400-w400%5Ecompr-r85/1918/191858273/3+Piece+Vegan+Leather+Manual+Reclining+Living+Room+Sofa+Set.jpg
Hylee 119'' Upholstered Sofa,"$1,729.99",(204),4.5,https://www.wayfair.com/furniture/pdp/wrought-studio-hylee-119-vegan-leather-sofa-mruu1364.html?piid=89266598,https://assets.wfcdn.com/im/24055604/resize-h400-w400%5Ecompr-r85/2695/269589727/Hylee+119%27%27+Upholstered+Sofa.jpg
"Purtell 82.25"" Faux leather Square Arm Sofa, Comfy Sofa, Living Sofa","$1,870.00",(450),4.0,https://www.wayfair.com/furniture/pdp/corrigan-studio-purtell-8225-faux-leather-square-arm-sofa-comfy-sofa-living-sofa-w004554677.html?piid=801610358,https://assets.wfcdn.com/im/50097751/resize-h400-w400%5Ecompr-r85/3521/352191744/Purtell+82.25%22+Faux+leather+Square+Arm+Sofa%2C+Comfy+Sofa%2C+Living+Sofa.jpg
"Bridgeview 70"" Vegan Leather Square Arm Sofa",$579.99,(296),4.5,https://www.wayfair.com/furniture/pdp/george-oliver-bridgeview-70-vegan-leather-square-arm-sofa-w004081673.html?piid=1975572771,https://assets.wfcdn.com/im/45248006/resize-h400-w400%5Ecompr-r85/2756/275618989/Bridgeview+70%22+Vegan+Leather+Square+Arm+Sofa.jpg
"Beesley 103.5"" Wide Faux Leather Sofa & Chaise with Ottoman",$333.99,(26),4.5,https://www.wayfair.com/furniture/pdp/wade-logan-beesley-1035-wide-faux-leather-sofa-chaise-with-ottoman-w005290448.html?piid=502041626%2C469164724%2C502041628,https://assets.wfcdn.com/im/88419300/resize-h400-w400%5Ecompr-r85/1789/178935653/Beesley+103.5%22+Wide+Faux+Leather+Sofa+%26+Chaise+with+Ottoman.jpg
Chezky 79'' Faux Leather Sofa,$709.99,N/A,N/A,https://www.wayfair.com/furniture/pdp/wrought-studio-chezky-79-faux-leather-armless-sofa-w111308725.html?piid=1179524374,https://assets.wfcdn.com/im/45876972/resize-h400-w400%5Ecompr-r85/2879/287951007/Chezky+79%27%27+Faux+Leather+Sofa.jpg
